scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters,n_units,preset
3,TWFE,0.102011674326743,-0.0522472454172156,0.1542589197439586,0.1998472719191695,0.4303286010524298,0.0677565541876856,2000.0,2500,default
4,DML-Chang,0.1033336920954466,0.1066606847340585,-0.0033269926386119,0.0980457090728438,0.973,0.1065092283677344,2000.0,2500,default
4,TWFE,0.278906252057006,0.1066606847340585,0.1722455673229475,0.1839446719063687,0.6835,0.10332014090794,2000.0,2500,default
5,DML-Chang,0.0612501216066893,0.1244184460356652,-0.0631683244289758,0.1623554918097885,0.9655,0.1713004065881849,2000.0,2500,default
5,TWFE,0.2629897302805411,0.1244184460356652,0.1385712842448758,0.1553975486977173,0.9075,0.1179253567123267,2000.0,2500,default
6,DML-Multi,-0.1142841504898072,-0.1206418935549265,0.0063577430651193,0.0665075747146484,1.0,,2000.0,2500,default
6,TWFE,0.151408074810468,-0.1206418935549265,0.2720499683653947,0.2925989533446668,0.0724574833225439,0.0576681037726528,2000.0,2500,default
7,DML-Chang,-0.924718996645122,-0.9245457847171352,-0.0001732119279866,0.1796536277628976,0.959,0.1852854501019378,2000.0,2500,default
7,TWFE,-0.7604656759591284,-0.9245457847171352,0.1640801087580068,0.1810914809595459,0.8135,0.1199066060602092,2000.0,2500,default
8,DML-Chang,-0.2914982221175881,-0.5717970653400581,0.2802988432224701,0.3489404825188376,0.7295,0.2178162829813386,2000.0,2500,default
8,TWFE,-0.4605827917091125,-0.5717970653400581,0.1112142736309457,0.144685093717067,0.946,0.1334357807663498,2000.0,2500,default
9,DML-Multi,-1.2010546958766084,-1.1892236223787425,-0.0118310734978662,0.1029339328059131,0.9980003801079256,,2000.0,2500,default
9,TWFE,-0.6434786247215347,-1.1892236223787425,0.5457449976572076,0.5546813259818271,0.0,0.0608101198481035,2000.0,2500,default
10,DML-Chang,0.0375910214723618,0.0382032125974066,-0.0006121911250448,0.1230591061109881,0.985,0.1487853629156344,2000.0,2500,default
10,TWFE,0.0401982106201768,0.0382032125974066,0.0019949980227701,0.0642885117787341,0.9885,0.0843790439375407,2000.0,2500,default
11,DML-Chang,0.0566483983526173,0.0486510687062427,0.0079973296463745,0.1507834624260545,0.9765,0.1711397246565485,2000.0,2500,default
11,TWFE,0.1884593356143925,0.0486510687062427,0.1398082669081497,0.1571837783525854,0.674,0.087509352776164,2000.0,2500,default
12,DML-Chang,-0.2913769808621432,-0.6267301744578754,0.3353531935957322,0.3910965562526801,0.647,0.2191748544911542,2000.0,2500,default
12,TWFE,-0.5129330455491995,-0.6267301744578754,0.1137971289086759,0.1452980986201354,0.839,0.1060833929142811,2000.0,2500,default
1,DML-Chang,0.1129493606894386,0.1168368296991077,-0.0038874690096691,0.1381562877440546,0.9775,0.1567471982267845,2000.0,2500,heavy
1,TWFE,0.1181434069826056,0.1168368296991077,0.0013065772834978,0.0613846543931839,0.999,0.1098153082535643,2000.0,2500,heavy
2,DML-Chang,0.0344017440482591,0.0811124767342953,-0.0467107326860361,0.3078905550205031,0.979,0.3502166852825805,2000.0,2500,heavy
